energy,price,parking,realstate,rooms,square_meters,terrace,wc,construction_year,zone
167.0,340000.0,['Sin plaza parking'],FIS-STATION REAL ESTATE,2.0,70.0,27.0,1.0,1960.0,"
                                    Sagrada Família
                                "
999.0,1700000.0,['Plaza parking '],Cru Onova,5.0,600.0,200.0,5.0,2009.0,"
                                    Sarrià
                                "
191.0,1050000.0,['Plaza parking '],Bourgeois Prime,4.0,217.0,90.0,2.0,2005.0,"
                                    El Clot
                                "
999.0,198000.0,['Sin plaza parking'],Chrysol Value Real Estate,2.0,63.0,,1.0,1850.0,"
                                    Raval
                                "
131.0,890000.0,['Plaza parking '],Cafur,4.0,180.0,30.0,3.0,1977.0,"
                                    Pedralbes
                                "
127.0,580000.0,['Plaza parking '],Cafur,3.0,126.0,,2.0,1992.0,"
                                    Vila Olímpica
                                "
91.0,680000.0,['Sin plaza parking'],ALTING Grupo Inmobiliario,3.0,90.0,,2.0,1998.0,"
                                    Dreta de l´Eixample
                                "
999.0,295000.0,['Sin plaza parking'],ProntoPiso,4.0,84.0,,1.0,1967.0,"
                                    Guinardó
                                "
77.0,950000.0,['Plaza parking '],Bourgeois Prime,2.0,100.0,,2.0,2008.0,"
                                    Diagonal Mar - La Mar Bella
                                "
999.0,205000.0,['Sin plaza parking'],ProntoPiso,3.0,94.0,,1.0,1968.0,"
                                    Besòs - Maresme
                                "
71.0,1900000.0,['Sin plaza parking'],ALTING Grupo Inmobiliario,2.0,149.0,26.0,3.0,1886.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,790000.0,['Sin plaza parking'],Coldwell Banker Prestige Barcelona,3.0,132.0,,2.0,1965.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,396000.0,[],Gestio i Garantia,3.0,88.0,13.0,2.0,,"
                                    Sant Andreu
                                "
999.0,380000.0,['Sin plaza parking'],Remax Jumbo,3.0,83.0,,2.0,1980.0,"
                                    Poblenou
                                "
84.0,465000.0,['Sin plaza parking'],Ollé Bertrán Serveis Immobiliaris,3.0,123.0,,2.0,,"
                                    Sants
                                "
95.0,420000.0,['Sin plaza parking'],Cafur,2.0,140.0,12.0,3.0,1900.0,"
                                    Sant Antoni
                                "
94.0,1400000.0,['Plaza parking '],Bourgeois Prime,3.0,128.0,70.0,2.0,2008.0,"
                                    Diagonal Mar - La Mar Bella
                                "
999.0,305000.0,['Sin plaza parking'],Cafur,3.0,85.0,,2.0,1910.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,310000.0,['Sin plaza parking'],Cèntric BCN.,3.0,80.0,,1.0,1945.0,"
                                    Esquerra Baixa de l´Eixample
                                "
133.0,665000.0,['Sin plaza parking'],Coldwell Banker  Eminent,4.0,127.0,,2.0,,"
                                    Sant Antoni
                                "
269.0,229000.0,['Sin plaza parking'],Immo-Facil-Eixample Esquerre (venta),3.0,74.0,4.0,1.0,1965.0,"
                                    Poble Sec
                                "
25.0,650000.0,[],SHREM GROUP,2.0,140.0,80.0,2.0,,"
                                    Gòtic
                                "
166.0,520000.0,['Sin plaza parking'],ALTING Grupo Inmobiliario,3.0,115.0,,2.0,1940.0,"
                                    Dreta de l´Eixample
                                "
131.0,230000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",2.0,56.0,,1.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
93.0,579000.0,['Plaza parking '],Amat. Barcelona - Habitatges,3.0,109.0,10.0,2.0,2007.0,"
                                    Besòs - Maresme
                                "
,1600000.0,['Plaza parking '],Engel & Völkers,9.0,548.0,,6.0,1993.0,"
                                    Vallvidrera - Tibidabo - Les Planes
                                "
25.0,450000.0,[],SHREM GROUP,2.0,100.0,3.0,2.0,,"
                                    Gòtic
                                "
999.0,384000.0,['Plaza parking '],i-now,3.0,107.0,,2.0,,"
                                    Horta
                                "
126.0,550000.0,['Sin plaza parking'],CHESTER REAL ESTATE,2.0,109.0,68.0,2.0,2019.0,"
                                    Vallcarca - Penitents
                                "
125.0,209000.0,['Sin plaza parking'],U10 HABITATGES,1.0,50.0,8.0,1.0,1951.0,"
                                    Guinardó
                                "
999.0,199000.0,['Sin plaza parking'],Ibercasa,1.0,45.0,45.0,1.0,2000.0,"
                                    Sant Andreu
                                "
50.0,630000.0,['Sin plaza parking'],Km2,3.0,96.0,42.0,2.0,,"
                                    Poblenou
                                "
999.0,260000.0,[],Hiperfincas,3.0,74.0,,1.0,1965.0,"
                                    Sagrada Família
                                "
133.0,479000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",3.0,92.0,,2.0,,"
                                    Fort Pienc
                                "
999.0,275000.0,['Sin plaza parking'],PI PROPERTIES INVESTMENT,3.0,100.0,28.0,2.0,2002.0,"
                                    Roquetes
                                "
146.0,595000.0,['Plaza parking '],Engel & Völkers,3.0,90.0,,2.0,2006.0,"
                                    Provençals del Poblenou
                                "
999.0,675000.0,['Plaza parking '],Inversiones Capital Inmobiliario,3.0,180.0,,3.0,,"
                                    Sant Gervasi - Galvany
                                "
