energy,price,parking,realstate,rooms,square_meters,terrace,wc,construction_year,zone
80.0,900000.0,['Plaza parking '],Nice Properties,3.0,136.0,25.0,2.0,2002.0,"
                                    Diagonal Mar - La Mar Bella
                                "
999.0,558000.0,['Sin plaza parking'],ATK,2.0,120.0,6.0,2.0,,"
                                    Pedralbes
                                "
999.0,340000.0,['Sin plaza parking'],Gala Finques,3.0,76.0,5.0,1.0,1960.0,"
                                    Congrés - Indians
                                "
140.0,215800.0,['Sin plaza parking'],Finques Enric,2.0,55.0,5.0,1.0,1925.0,"
                                    Esquerra Baixa de l´Eixample
                                "
127.0,265000.0,['Sin plaza parking'],Diagonalcasa,2.0,58.0,,1.0,1914.0,"
                                    Raval
                                "
999.0,2950000.0,[],Eixample Singular,6.0,640.0,,2.0,1930.0,"
                                    Dreta de l´Eixample
                                "
999.0,1290000.0,['Sin plaza parking'],Aixhome Barcelona,4.0,220.0,15.0,3.0,1936.0,"
                                    Sant Gervasi - Galvany
                                "
125.0,420000.0,['Sin plaza parking'],Solfinc,4.0,87.0,5.0,2.0,1967.0,"
                                    Sagrada Família
                                "
999.0,298000.0,['Sin plaza parking'],Tecnocasa Estudi Marina 311,2.0,65.0,,2.0,1958.0,"
                                    Camp de l´Arpa
                                "
999.0,379000.0,['Plaza parking '],Dolça LLar,3.0,90.0,7.0,2.0,2001.0,"
                                    La Sagrera
                                "
56.0,159000.0,['Sin plaza parking'],LA CASA AGENCY GRAN VIA,3.0,100.0,,1.0,1963.0,"
                                    La Verneda - La Pau
                                "
203.0,285000.0,['Sin plaza parking'],Arel Home Consultora Inmobiliaria,2.0,49.0,,1.0,,"
                                    Poblenou
                                "
,6000000.0,['Plaza parking '],Mosella,5.0,600.0,50.0,5.0,,"
                                    Sant Gervasi - Galvany
                                "
999.0,485000.0,['Sin plaza parking'],Hermes & Mathew,3.0,85.0,,1.0,1963.0,"
                                    Esquerra Alta de l´Eixample
                                "
204.0,163000.0,['Sin plaza parking'],AndorHome,3.0,69.0,,1.0,1969.0,"
                                    La Marina-Montjuïc
                                "
999.0,159000.0,['Sin plaza parking'],La casa Agency,3.0,100.0,,1.0,1963.0,"
                                    La Verneda - La Pau
                                "
50.0,415000.0,[],Eicasa Fincas,3.0,80.0,,1.0,,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,695000.0,['Sin plaza parking'],AA Inmo,4.0,131.0,7.0,3.0,1900.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
177.0,315000.0,['Sin plaza parking'],InmoService Barcelona,3.0,85.0,,2.0,2019.0,"
                                    El Clot
                                "
999.0,770000.0,['Plaza parking '],Nice Properties,2.0,128.0,20.0,1.0,2001.0,"
                                    Vila Olímpica
                                "
152.0,385000.0,[],Fincas Sanchez,2.0,83.0,,2.0,1979.0,"
                                    Esquerra Alta de l´Eixample
                                "
148.0,378000.0,['Sin plaza parking'],Somos Real Estate,3.0,68.0,,2.0,,"
                                    St. Pere - Sta. Caterina - El Born
                                "
270.0,227000.0,['Sin plaza parking'],Finques Rodes,3.0,81.0,,2.0,1964.0,"
                                    Horta
                                "
110.0,1250000.0,[],Atico,6.0,267.0,,4.0,1992.0,"
                                    Vila Olímpica
                                "
999.0,279500.0,['Sin plaza parking'],TECSON Fincas,3.0,78.0,,1.0,1969.0,"
                                    El Clot
                                "
160.0,650000.0,[],DIAGONAL 111,4.0,128.0,70.0,3.0,2001.0,"
                                    Poblenou
                                "
72.0,520000.0,[],Ver pisos - Serveis Immobiliaris,2.0,104.0,8.0,1.0,2019.0,"
                                    Camp d´en Grassot - Gràcia N.
                                "
286.0,330000.0,['Sin plaza parking'],Diagonalcasa,3.0,93.0,,1.0,1900.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
120.0,320000.0,['Sin plaza parking'],Diagonalcasa,2.0,75.0,,1.0,1890.0,"
                                    Raval
                                "
107.0,365000.0,['Sin plaza parking'],Diagonalcasa,3.0,83.0,,2.0,1970.0,"
                                    Camp d´en Grassot - Gràcia N.
                                "
211.0,212000.0,['Sin plaza parking'],Immocat,2.0,51.0,1.0,1.0,1931.0,"
                                    Sagrada Família
                                "
999.0,795000.0,[],Garlasa Trade,2.0,120.0,40.0,2.0,1900.0,"
                                    Dreta de l´Eixample
                                "
999.0,235000.0,['Sin plaza parking'],Euro House Fincas,3.0,65.0,,1.0,1975.0,"
                                    Sants
                                "
43.0,650000.0,[],comprarcasa Gand House,4.0,100.0,80.0,2.0,1975.0,"
                                    Esquerra Baixa de l´Eixample
                                "
1.0,369000.0,['Sin plaza parking'],Walter Haus,3.0,120.0,70.0,2.0,,"
                                    Camp de l´Arpa
                                "
165.0,1600000.0,['Plaza parking '],"Llebrenc, S.L.",5.0,354.0,,4.0,1995.0,"
                                    Vallvidrera - Tibidabo - Les Planes
                                "
100.0,825000.0,['Plaza parking '],Yrmasa Inversiones Inmobiliarias,4.0,220.0,17.0,5.0,2019.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,295000.0,['Sin plaza parking'],Webhouse Santgervasi,1.0,51.0,20.0,1.0,1879.0,"
                                    Putget - Farró
                                "
168.0,325000.0,[],Don Piso Hospitalet,4.0,94.0,1.0,1.0,1817.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
152.0,350000.0,['Sin plaza parking'],Assessors Immobiliaris Algi,3.0,110.0,,2.0,1964.0,"
                                    Baix Guinardó
                                "
184.0,385000.0,['Sin plaza parking'],Fastighetsbyran,2.0,68.0,2.0,1.0,1950.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,795000.0,['Sin plaza parking'],BCN Advisors,3.0,117.0,10.0,3.0,1900.0,"
                                    Dreta de l´Eixample
                                "
326.0,85000.0,[],La Casa Agency,1.0,45.0,,1.0,1950.0,"
                                    Roquetes
                                "
120.0,1250000.0,['Sin plaza parking'],Home Vitae,6.0,215.0,,3.0,1935.0,"
                                    Raval
                                "
,310000.0,['Sin plaza parking'],ShBarcelona Ventas,3.0,84.0,,2.0,,"
                                    Dreta de l´Eixample
                                "
112.0,229500.0,['Sin plaza parking'],Gala Finques,3.0,79.0,7.0,2.0,1969.0,"
                                    Badal
                                "
999.0,740000.0,['Sin plaza parking'],"Llebrenc, S.L.",4.0,145.0,20.0,2.0,1978.0,"
                                    Vallvidrera - Tibidabo - Les Planes
                                "
999.0,1190000.0,['Plaza parking '],Atico,5.0,200.0,20.0,4.0,1968.0,"
                                    Sarrià
                                "
18.0,770000.0,['Plaza parking '],Nova Urbe Associats,4.0,113.0,11.0,2.0,2018.0,"
                                    Besòs - Maresme
                                "
164.0,850000.0,['Plaza parking '],"Llebrenc, S.L.",5.0,422.0,,4.0,2001.0,"
                                    Vallvidrera - Tibidabo - Les Planes
                                "
999.0,850000.0,['Sin plaza parking'],Carolina Marti,4.0,150.0,,2.0,1936.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
273.0,235000.0,['Sin plaza parking'],Bppinvestment,3.0,58.0,,1.0,,"
                                    Esquerra Alta de l´Eixample
                                "
125.0,260000.0,['Sin plaza parking'],Solopisos,3.0,80.0,,1.0,1958.0,"
                                    Congrés - Indians
                                "
,119000.0,['Sin plaza parking'],BCN Finques,2.0,46.0,,1.0,1700.0,"
                                    Raval
                                "
999.0,374000.0,['Sin plaza parking'],ShBarcelona Ventas,2.0,95.0,,1.0,,"
                                    St. Pere - Sta. Caterina - El Born
                                "
,350000.0,['Sin plaza parking'],ShBarcelona Ventas,2.0,48.0,,1.0,,"
                                    Poble Sec
                                "
999.0,470000.0,['Sin plaza parking'],Suite Patrimonios,2.0,78.0,4.0,2.0,1973.0,"
                                    Esquerra Alta de l´Eixample
                                "
97.0,1280000.0,['Plaza parking '],Vivendex,5.0,216.0,,4.0,1977.0,"
                                    Sant Gervasi - Bonanova
                                "
124.0,499000.0,[],Gamimar Servicios Inmobiliarios,5.0,143.0,,3.0,1970.0,"
                                    Sagrada Família
                                "
124.0,119000.0,[],Nuevacasa,2.0,55.0,,1.0,,"
                                    Bon Pastor
                                "
163.0,520000.0,['Plaza parking '],Homim,5.0,139.0,,2.0,1949.0,"
                                    Vila de Gràcia
                                "
148.0,520000.0,['Sin plaza parking'],GEINBAR,3.0,98.0,,2.0,1963.0,"
                                    Sarrià
                                "
91.0,199000.0,['Sin plaza parking'],Sinland,2.0,75.0,,1.0,1971.0,"
                                    Sant Martí
                                "
192.0,275000.0,['Sin plaza parking'],EDUCANON GLOBAL REAL ESTATE,3.0,74.0,,1.0,1960.0,"
                                    Congrés - Indians
                                "
126.0,149900.0,['Sin plaza parking'],La Casa Agency,4.0,74.0,,1.0,1974.0,"
                                    Roquetes
                                "
999.0,699000.0,['Sin plaza parking'],Fincas Parte Alta,3.0,164.0,35.0,2.0,1700.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
200.0,425000.0,['Sin plaza parking'],Tecnocasa Les Corts,5.0,100.0,,3.0,1960.0,"
                                    Sants
                                "
71.0,865000.0,['Plaza parking '],Nova Urbe Associats,3.0,125.0,20.0,2.0,2003.0,"
                                    Diagonal Mar - La Mar Bella
                                "
120.0,204000.0,['Sin plaza parking'],Nuevacasa,3.0,65.0,,1.0,1976.0,"
                                    Sant Andreu
                                "
218.0,480000.0,['Sin plaza parking'],Solopisos,3.0,94.0,6.0,2.0,1970.0,"
                                    Sagrada Família
                                "
999.0,138000.0,['Sin plaza parking'],Dolça LLar,3.0,50.0,,1.0,1970.0,"
                                    La Sagrera
                                "
1.0,1100000.0,['Plaza parking '],Walter Haus,5.0,177.0,15.0,2.0,,"
                                    Tres Torres
                                "
999.0,149000.0,['Sin plaza parking'],Estudi Virrei Amat,3.0,55.0,3.0,1.0,1964.0,"
                                    Porta
                                "
999.0,415000.0,['Sin plaza parking'],"Letsgocasa Real Estate, S.L.",3.0,62.0,,1.0,,"
                                    Pedralbes
                                "
,150000.0,['Sin plaza parking'],BCN Finques,3.0,57.0,,1.0,1900.0,"
                                    Raval
                                "
230.0,240000.0,['Sin plaza parking'],Xela Properties Real Estate,3.0,75.0,4.0,2.0,1977.0,"
                                    Glòries El Parc
                                "
67.0,460000.0,['Sin plaza parking'],Diagonalcasa,3.0,108.0,15.0,2.0,1973.0,"
                                    Esquerra Baixa de l´Eixample
                                "
159.0,330000.0,['Sin plaza parking'],Diagonalcasa,3.0,89.0,,1.0,1955.0,"
                                    Sagrada Família
                                "
151.0,785000.0,['Sin plaza parking'],Amon Properties,5.0,200.0,13.0,3.0,1960.0,"
                                    Pedralbes
                                "
204.0,225000.0,['Sin plaza parking'],Eurofincas,3.0,58.0,,1.0,1974.0,"
                                    Provençals del Poblenou
                                "
999.0,850000.0,['Plaza parking '],Atico,3.0,170.0,,3.0,1992.0,"
                                    Putget - Farró
                                "
999.0,525000.0,['Sin plaza parking'],Atico,4.0,140.0,70.0,2.0,,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,1200000.0,['Plaza parking '],City Pisos SL,5.0,225.0,,3.0,1965.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,235000.0,['Sin plaza parking'],Fincas Cumbre,3.0,70.0,2.0,1.0,1974.0,"
                                    Sant Andreu
                                "
124.0,499000.0,['Plaza parking '],Fincas Sanchez,5.0,160.0,10.0,3.0,1970.0,"
                                    Sagrada Família
                                "
999.0,390000.0,['Sin plaza parking'],The White Side,3.0,107.0,,2.0,1959.0,"
                                    Fort Pienc
                                "
999.0,475000.0,['Sin plaza parking'],MG GRUPO INMOBILIARIO,3.0,77.0,,2.0,,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,1600000.0,['Sin plaza parking'],MG GRUPO INMOBILIARIO,3.0,180.0,,3.0,,"
                                    Dreta de l´Eixample
                                "
124.0,349000.0,['Sin plaza parking'],ABC Flat,3.0,108.0,,2.0,1900.0,"
                                    Raval
                                "
1.0,1550000.0,['Plaza parking '],Walter Haus,3.0,176.0,12.0,2.0,,"
                                    Diagonal Mar - La Mar Bella
                                "
999.0,625000.0,[],Fincas Blanquerna - Barcelona,4.0,117.0,25.0,2.0,1965.0,"
                                    Sarrià
                                "
999.0,298000.0,['Sin plaza parking'],Xela Properties Real Estate,3.0,75.0,15.0,1.0,1975.0,"
                                    Carmel
                                "
295.0,2750000.0,['Plaza parking '],"Llebrenc, S.L.",2.0,285.0,108.0,3.0,1907.0,"
                                    Tres Torres
                                "
108.0,565000.0,['Sin plaza parking'],Turro BCN,3.0,104.0,20.0,2.0,1946.0,"
                                    Putget - Farró
                                "
119.0,395000.0,['Sin plaza parking'],Nova Urbe Associats,3.0,92.0,3.0,1.0,1975.0,"
                                    Poblenou
                                "
124.0,370000.0,['Sin plaza parking'],Diagonalcasa,5.0,100.0,,1.0,1900.0,"
                                    Raval
                                "
227.0,285000.0,['Sin plaza parking'],Diagonalcasa,3.0,58.0,,1.0,1965.0,"
                                    Navas
                                "
96.0,395000.0,['Sin plaza parking'],Diagonalcasa,2.0,119.0,,1.0,1900.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,255000.0,['Sin plaza parking'],Artami,1.0,67.0,9.0,1.0,1995.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,1350000.0,['Plaza parking '],Ropisa Urban,5.0,393.0,118.0,4.0,,"
                                    Sant Gervasi - Galvany
                                "
167.0,480000.0,['Plaza parking '],Suite Patrimonios,4.0,93.0,40.0,2.0,1996.0,"
                                    Carmel
                                "
148.0,289000.0,['Sin plaza parking'],Diagonalcasa,2.0,73.0,10.0,1.0,1974.0,"
                                    Guinardó
                                "
133.0,495000.0,[],Almendros,3.0,92.0,,2.0,1964.0,"
                                    Fort Pienc
                                "
169.0,330000.0,['Sin plaza parking'],Nova Urbe Associats,3.0,82.0,,1.0,1936.0,"
                                    Font de la Guatlla
                                "
169.0,330000.0,['Sin plaza parking'],Nova Urbe Associats,3.0,82.0,,1.0,1936.0,"
                                    Font de la Guatlla
                                "
999.0,295000.0,['Sin plaza parking'],LA CASA AGENCY GRAN VIA,3.0,86.0,,1.0,1967.0,"
                                    Sant Martí
                                "
142.0,450000.0,['Sin plaza parking'],Turro BCN,3.0,116.0,,1.0,1980.0,"
                                    Raval
                                "
1.0,625000.0,['Sin plaza parking'],Coldwell Banker Prestige Barcelona,2.0,101.0,,2.0,1900.0,"
                                    Esquerra Alta de l´Eixample
                                "
,695000.0,[],Maxi Casa,5.0,174.0,,3.0,1968.0,"
                                    Sant Gervasi - Galvany
                                "
164.0,189000.0,[],OLSAN IMMOBAD,3.0,54.0,,1.0,,"
                                    La Sagrera
                                "
195.0,640000.0,['Sin plaza parking'],ALMA REHABITAT,2.0,107.0,,2.0,1910.0,"
                                    Esquerra Alta de l´Eixample
                                "
45.0,950000.0,[],Ajax Bcn Properties,2.0,91.0,,2.0,1934.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,450000.0,['Sin plaza parking'],Barcelona Realty Group,2.0,70.0,,1.0,1936.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,375000.0,['Sin plaza parking'],Webhouse,4.0,105.0,5.0,2.0,1977.0,"
                                    Camp d´en Grassot - Gràcia N.
                                "
115.0,650000.0,['Sin plaza parking'],Pohl Tuker,3.0,124.0,3.0,2.0,1963.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,875000.0,['Sin plaza parking'],TECSON Fincas,5.0,200.0,,3.0,1965.0,"
                                    Sant Gervasi - Bonanova
                                "
,1397000.0,['Plaza parking '],Fincas Galisan,4.0,175.0,27.0,2.0,2002.0,"
                                    Diagonal Mar - La Mar Bella
                                "
181.0,247000.0,['Sin plaza parking'],Diagonalcasa,3.0,56.0,,1.0,1928.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,465000.0,['Plaza parking '],fincas alert,2.0,90.0,,1.0,,"
                                    Dreta de l´Eixample
                                "
999.0,550000.0,['Sin plaza parking'],Finques Grn Samons,5.0,140.0,,3.0,1966.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,240000.0,['Sin plaza parking'],Gala Finques,3.0,68.0,,1.0,1971.0,"
                                    Porta
                                "
181.0,275000.0,[],"Tecnocasa - Pisos Sant Antoni Mar, S.L.U.",2.0,67.0,,1.0,1992.0,"
                                    Sant Antoni
                                "
288.0,440000.0,[],Garant Agency,2.0,80.0,,1.0,1900.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,265000.0,[],Super Dom,2.0,82.0,10.0,2.0,,"
                                    Hostafrancs
                                "
999.0,465000.0,['Plaza parking '],fincas alert,2.0,90.0,,1.0,,"
                                    Dreta de l´Eixample
                                "
999.0,740000.0,['Sin plaza parking'],Hermes & Mathew,2.0,80.0,,2.0,,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,1350000.0,['Plaza parking '],Atico,4.0,200.0,20.0,2.0,,"
                                    Sarrià
                                "
166.0,520000.0,[],Fincas Parte Alta,3.0,115.0,,2.0,1940.0,"
                                    Dreta de l´Eixample
                                "
206.0,134114.0,['Sin plaza parking'],Gala Finques,3.0,52.0,3.0,1.0,1968.0,"
                                    Prosperitat
                                "
274.0,375000.0,['Sin plaza parking'],Finques Ema,3.0,90.0,,1.0,1968.0,"
                                    El Clot
                                "
999.0,1175000.0,['Sin plaza parking'],Atico,4.0,189.0,24.0,3.0,1906.0,"
                                    Dreta de l´Eixample
                                "
239.0,545000.0,['Sin plaza parking'],Diagonalcasa,4.0,127.0,,3.0,1971.0,"
                                    Sant Ramon - Maternitat
                                "
999.0,749000.0,['Plaza parking '],Diagonal Habitat,3.0,114.0,,2.0,,"
                                    Gòtic
                                "
30.0,675000.0,['Plaza parking '],Nova Urbe Associats,3.0,120.0,20.0,2.0,2016.0,"
                                    Poblenou
                                "
239.0,545000.0,['Sin plaza parking'],Diagonalcasa,4.0,127.0,,3.0,1971.0,"
                                    Sant Ramon - Maternitat
                                "
999.0,749000.0,['Plaza parking '],Diagonal Habitat,3.0,114.0,,2.0,,"
                                    Gòtic
                                "
30.0,675000.0,['Plaza parking '],Nova Urbe Associats,3.0,120.0,20.0,2.0,2016.0,"
                                    Poblenou
                                "
162.0,625000.0,['Sin plaza parking'],Home Group Central,4.0,128.0,26.0,2.0,1989.0,"
                                    Guinardó
                                "
320.0,275000.0,[],TECNOCASA - Estudi Joan Miró,4.0,95.0,,2.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
,2100000.0,['Plaza parking '],"Llebrenc, S.L.",5.0,500.0,,5.0,,"
                                    Sarrià
                                "
86.0,295000.0,[],Top House Realty,2.0,93.0,,1.0,1961.0,"
                                    Sagrada Família
                                "
56.0,298000.0,['Plaza parking '],VEÍ NOU - Hostafrancs,2.0,82.0,,1.0,2001.0,"
                                    Sants
                                "
,315000.0,['Sin plaza parking'],ShBarcelona Ventas,1.0,70.0,,1.0,,"
                                    La Bordeta
                                "
1.0,350000.0,['Plaza parking '],Walter Haus,3.0,68.0,,1.0,,"
                                    Poble Sec
                                "
999.0,165000.0,['Sin plaza parking'],Horaxia+,3.0,70.0,,1.0,1965.0,"
                                    Carmel
                                "
999.0,300000.0,['Sin plaza parking'],Homim,3.0,65.0,,1.0,1972.0,"
                                    Fort Pienc
                                "
191.0,390000.0,[],Fincas Sanchez,4.0,98.0,,2.0,1984.0,"
                                    Fort Pienc
                                "
999.0,599000.0,['Plaza parking '],Fincas Fontao,3.0,113.0,,2.0,1973.0,"
                                    Sant Ramon - Maternitat
                                "
999.0,985000.0,['Sin plaza parking'],Eixample Singular,2.0,156.0,,3.0,1895.0,"
                                    Esquerra Baixa de l´Eixample
                                "
206.0,365000.0,['Sin plaza parking'],Solfinc,3.0,76.0,,2.0,1964.0,"
                                    Esquerra Alta de l´Eixample
                                "
121.0,260000.0,['Sin plaza parking'],La Casa Agency,4.0,100.0,,2.0,,"
                                    La Bordeta
                                "
1.0,540000.0,['Sin plaza parking'],Walter Haus,4.0,115.0,,2.0,,"
                                    Dreta de l´Eixample
                                "
1.0,399000.0,['Sin plaza parking'],Walter Haus,3.0,89.0,,3.0,,"
                                    Sagrada Família
                                "
149.0,316000.0,['Sin plaza parking'],Espai Bcn Flats,2.0,67.0,,1.0,1850.0,"
                                    Gòtic
                                "
142.0,1495000.0,['Plaza parking '],PROCASA,5.0,242.0,20.0,3.0,1970.0,"
                                    Tres Torres
                                "
999.0,350000.0,['Sin plaza parking'],Redpiso,2.0,75.0,,1.0,1967.0,"
                                    Sant Gervasi - Galvany
                                "
106.0,315000.0,['Sin plaza parking'],Tecnocasa Sant Andreu,4.0,90.0,10.0,2.0,1973.0,"
                                    Sant Andreu
                                "
223.0,1950000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,4.0,284.0,61.0,4.0,2004.0,"
                                    Sant Gervasi - Bonanova
                                "
,590000.0,['Plaza parking '],Dama Inmobiliaria,2.0,89.0,70.0,2.0,2019.0,"
                                    Besòs - Maresme
                                "
155.0,470000.0,['Sin plaza parking'],VEÍ NOU - Hostafrancs,4.0,135.0,20.0,3.0,1977.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,495000.0,['Plaza parking '],SINGULAR PROPERTIES,1.0,48.0,90.0,1.0,1908.0,"
                                    Putget - Farró
                                "
999.0,1195000.0,['Sin plaza parking'],ABC Flat,6.0,208.0,,2.0,1950.0,"
                                    Dreta de l´Eixample
                                "
100.0,825000.0,['Plaza parking '],Yrmasa Inversiones Inmobiliarias,3.0,220.0,17.0,4.0,2019.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,950000.0,['Plaza parking '],hooli HOME,5.0,152.0,,3.0,1971.0,"
                                    Sant Gervasi - Galvany
                                "
72.0,470000.0,[],Ver pisos - Serveis Immobiliaris,2.0,90.0,8.0,1.0,2019.0,"
                                    Camp d´en Grassot - Gràcia N.
                                "
223.0,1950000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,4.0,284.0,61.0,4.0,2004.0,"
                                    Sant Gervasi - Bonanova
                                "
,590000.0,['Plaza parking '],Dama Inmobiliaria,2.0,89.0,70.0,2.0,2019.0,"
                                    Besòs - Maresme
                                "
155.0,470000.0,['Sin plaza parking'],VEÍ NOU - Hostafrancs,4.0,135.0,20.0,3.0,1977.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,495000.0,['Plaza parking '],SINGULAR PROPERTIES,1.0,48.0,90.0,1.0,1908.0,"
                                    Putget - Farró
                                "
45.0,970000.0,[],Finques Grn Samons,3.0,130.0,,2.0,,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,312000.0,['Sin plaza parking'],Tecnocasa Estudi Marina 311,2.0,71.0,,2.0,1958.0,"
                                    Camp de l´Arpa
                                "
136.0,298000.0,[],Fincas Sanchez,3.0,94.0,,2.0,1967.0,"
                                    Poble Sec
                                "
201.0,525000.0,[],Turro BCN,,525.0,,,,"
                                    Putget - Farró
                                "
54.0,360000.0,['Plaza parking '],Nova Urbe Associats,2.0,90.0,12.0,2.0,2007.0,"
                                    Besòs - Maresme
                                "
999.0,690000.0,['Sin plaza parking'],Atico,2.0,120.0,,3.0,,"
                                    Dreta de l´Eixample
                                "
999.0,640000.0,['Sin plaza parking'],Somos Real Estate,2.0,84.0,,2.0,1963.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,800000.0,['Plaza parking '],Nice Properties,2.0,101.0,,2.0,1954.0,"
                                    Sant Gervasi - Galvany
                                "
282.0,390000.0,['Sin plaza parking'],Mónaco i Rosich,3.0,87.0,4.0,2.0,,"
                                    Sagrada Família
                                "
999.0,385000.0,['Plaza parking '],Tecnocasa Gran de San Andreu,3.0,109.0,,2.0,2002.0,"
                                    Bon Pastor
                                "
999.0,925000.0,['Sin plaza parking'],Open House Barcelona,2.0,107.0,60.0,2.0,,"
                                    St. Pere - Sta. Caterina - El Born
                                "
148.0,515000.0,['Sin plaza parking'],CENTURY 21 NEW ESTATE,3.0,133.0,,2.0,1010.0,"
                                    Dreta de l´Eixample
                                "
999.0,665000.0,['Sin plaza parking'],AA Inmo,4.0,131.0,7.0,3.0,1900.0,"
                                    St. Pere - Sta. Caterina - El Born
                                "
999.0,485000.0,['Sin plaza parking'],Xela Properties Real Estate,3.0,142.0,27.0,2.0,1940.0,"
                                    Poblenou
                                "
80.0,440000.0,['Sin plaza parking'],Nice Properties,3.0,115.0,40.0,1.0,1972.0,"
                                    Poblenou
                                "
336.0,1029400.0,['Plaza parking '],Finques Enric,4.0,180.0,20.0,3.0,2000.0,"
                                    Diagonal Mar - La Mar Bella
                                "
100.0,565000.0,['Sin plaza parking'],Yrmasa Inversiones Inmobiliarias,3.0,133.0,,3.0,2020.0,"
                                    Les Corts
                                "
999.0,849000.0,['Sin plaza parking'],TECSON Fincas,4.0,200.0,7.0,3.0,1994.0,"
                                    Vila Olímpica
                                "
121.0,270000.0,['Sin plaza parking'],La Casa Agency NouBarris,1.0,55.0,50.0,1.0,,"
                                    Vila de Gràcia
                                "
164.0,1107000.0,['Plaza parking '],Nova Urbe Associats,4.0,136.0,20.0,2.0,2004.0,"
                                    Diagonal Mar - La Mar Bella
                                "
206.0,365000.0,['Sin plaza parking'],Eurofincas,3.0,76.0,,2.0,1964.0,"
                                    Esquerra Alta de l´Eixample
                                "
210.0,405000.0,['Plaza parking '],Fernanuch S.L,2.0,105.0,8.0,2.0,2008.0,"
                                    Fort Pienc
                                "
999.0,720000.0,['Sin plaza parking'],Immodisseny,3.0,155.0,80.0,3.0,1979.0,"
                                    Sagrada Família
                                "
302.0,2750000.0,[],CERCLE HABITAT,11.0,330.0,124.0,3.0,1936.0,"
                                    Sant Gervasi - Bonanova
                                "
118.0,330000.0,[],CENTURY 21 Xarxa,2.0,82.0,,2.0,1973.0,"
                                    Badal
                                "
52.0,395000.0,['Sin plaza parking'],Diagonalcasa,3.0,102.0,,2.0,1900.0,"
                                    Raval
                                "
155.0,325000.0,['Sin plaza parking'],donpiso  Bcn Rogent,3.0,79.0,6.0,1.0,1958.0,"
                                    Camp de l´Arpa
                                "
1.0,390000.0,['Sin plaza parking'],Coldwell Banker Prestige Barcelona,1.0,62.0,3.0,1.0,2018.0,"
                                    Glòries El Parc
                                "
999.0,340000.0,['Sin plaza parking'],hooli HOME,3.0,73.0,,1.0,1966.0,"
                                    Dreta de l´Eixample
                                "
999.0,750000.0,['Sin plaza parking'],Withfor,4.0,160.0,,2.0,1944.0,"
                                    Sant Gervasi - Galvany
                                "
76.0,455000.0,['Sin plaza parking'],VEÍ NOU -  Punt Sants,2.0,114.0,,2.0,1995.0,"
                                    Sants
                                "
100.0,825000.0,['Plaza parking '],Yrmasa Inversiones Inmobiliarias,3.0,220.0,16.0,4.0,2019.0,"
                                    Esquerra Baixa de l´Eixample
                                "
77.0,1290000.0,['Plaza parking '],Frigurama Inmuebles,3.0,145.0,30.0,2.0,2006.0,"
                                    Sant Gervasi - Bonanova
                                "
81.0,690000.0,['Sin plaza parking'],Fincas Cano & Pujol,5.0,150.0,12.0,2.0,1883.0,"
                                    Dreta de l´Eixample
                                "
192.0,300000.0,['Sin plaza parking'],Eurofincas,2.0,79.0,,1.0,1900.0,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,460000.0,['Sin plaza parking'],La casa Agency,2.0,130.0,,2.0,,"
                                    Vila de Gràcia
                                "
90.0,340000.0,['Sin plaza parking'],COMaCASA,2.0,80.0,10.0,2.0,2020.0,"
                                    Congrés - Indians
                                "
67.0,370000.0,['Sin plaza parking'],Woaiwojia Inmobiliaria,4.0,98.0,,2.0,1980.0,"
                                    Fort Pienc
                                "
26.0,450000.0,[],Teqtum,2.0,110.0,,2.0,1958.0,"
                                    Gòtic
                                "
246.0,1500000.0,['Plaza parking '],TECSON Fincas,4.0,250.0,150.0,4.0,1963.0,"
                                    Putget - Farró
                                "
